feature_1,feature_2,feature_3,target
-0.1441,-0.1729,2.7503,1
0.2736,1.6101,6.767,1
0.3323,-0.2673,4.2192,1
0.6902,0.1307,5.0536,1
0.6566,0.1105,6.4988,1
-0.6778,-0.1966,5.8927,1
0.0417,-0.1063,8.0582,1
-0.292,-0.864,1.5548,0
0.8734,-0.2406,0.9275,1
1.5922,1.1073,6.0373,1
0.5683,-1.5145,5.3623,1
0.9615,-0.164,5.5204,1
0.6643,-1.2191,8.6171,1
-1.3808,-0.7294,0.4582,0
0.1144,0.8186,0.7979,1
0.0498,0.4588,2.7797,1
-0.627,-0.7174,3.7018,1
0.1984,0.7628,9.3665,1
-0.8193,-1.0989,1.7114,0
-0.0781,-0.5922,3.7946,1
1.4263,-0.094,5.5695,1
-0.7683,-1.7637,7.76,1
0.0335,0.2532,3.1545,1
-0.0766,0.6842,9.4291,1
0.62,-0.6094,6.5544,1
-1.758,1.3525,4.5885,1
-0.0703,0.7493,5.6137,1
-0.106,1.3213,8.9782,1
-0.5677,0.4158,9.9754,1
-0.4358,-0.0261,0.4712,0
1.0847,0.8934,7.9208,1
-0.3198,0.1702,3.8162,1
1.2269,-0.0299,9.7108,1
0.0974,-0.1166,7.2072,1
-0.5163,-1.1284,2.6683,0
-0.3078,-0.3766,4.3477,1
-2.3759,0.711,8.7585,1
-0.099,1.1742,1.7865,1
1.7249,-1.0551,2.9844,1
-0.8805,-1.0501,1.5284,0
0.0978,-1.2413,7.7863,1
-0.0332,-0.0064,3.2416,1
2.2834,0.2808,8.7872,1
0.4208,-0.7469,0.5793,0
1.7457,-1.6809,0.8565,1
-0.3773,0.0333,7.606,1
0.0521,-0.5216,4.7528,1
-0.7467,-0.2416,8.7243,1
-0.611,0.3204,5.393,1
-0.0843,-0.6649,3.1172,1
1.4481,-0.0441,4.381,1
-0.5048,-0.056,2.247,1
-0.7003,1.1334,2.3011,1
0.0714,0.3771,6.311,1
0.2865,2.1528,8.5964,1
0.6654,0.3175,6.6898,1
0.1187,0.5194,9.3551,1
-1.0205,-0.4884,7.8462,1
0.2297,-0.608,0.9693,1
-0.9527,0.4407,4.6702,1
-0.1961,-1.483,9.8417,1
0.8271,0.5885,3.393,1
0.4881,-0.5775,1.9021,1
-0.9928,0.3322,2.7855,1
0.0028,2.266,4.4313,1
0.8141,-0.9673,0.5059,1
1.9016,-0.0086,9.69,1
1.7391,-0.8674,1.6631,1
-0.6907,0.0625,4.0104,1
0.9106,0.3515,9.8531,1
-0.167,1.7429,4.5501,1
-2.2234,1.1682,9.9542,1
-1.4953,-0.5465,1.548,0
-0.7615,2.5197,5.7918,1
-1.6023,-0.435,0.5717,0
-1.0207,-0.5966,8.5272,1
1.3982,2.1265,0.8011,1
0.5276,1.2368,6.7521,1
0.0469,0.5032,8.9029,1
0.0319,1.3433,6.1938,1
-1.157,0.6434,5.2278,1
0.6199,-0.2696,7.1619,1
0.0713,1.0013,6.7169,1
-0.2694,0.8292,7.5186,1
0.9942,0.4874,9.9845,1
0.39,-0.0096,2.1315,1
-0.2219,2.3162,8.8086,1
0.6972,-0.6607,1.5775,1
0.7832,-1.3484,6.1168,1
1.4522,-0.1167,0.0782,1
0.3452,-0.7697,6.6339,1
0.498,-0.2011,1.1543,1
0.993,0.7908,2.7235,1
-1.2576,-0.9733,2.036,0
-0.5206,-0.5848,4.8853,1
1.6024,-1.0841,0.923,1
-0.7138,0.3718,0.0355,0
0.1884,-1.4113,2.6196,1
-0.0698,-1.2648,4.2769,1
0.3948,0.024,8.8311,1
1.034,-0.7129,8.346,1
-0.4918,-0.2805,1.2745,0
-0.7664,1.9994,7.9612,1
1.372,-1.6436,2.1008,1
0.0014,0.4658,7.8012,1
0.7624,-0.6795,6.2066,1
1.3012,1.9032,8.6461,1
1.8044,-0.2718,8.8142,1
1.6136,0.2533,3.3219,1
1.6329,-0.7582,8.6406,1
0.2935,-0.7311,7.8737,1
1.5782,1.2741,8.5859,1
0.3174,1.8142,4.603,1
-0.6054,1.6752,2.276,1
0.6479,0.0971,3.2826,1
1.7185,-1.9653,2.7912,1
-0.6367,-0.7844,9.8115,1
-2.3057,-0.5339,1.1534,0
0.6164,-0.116,9.6253,1
-0.0465,0.4768,4.3456,1
-0.1166,-0.8598,6.0621,1
-0.9838,-0.0707,5.7659,1
-0.0466,1.5701,0.0169,1
1.11,-0.5605,7.1943,1
-0.0753,-1.4884,3.6422,1
1.3369,0.6288,3.302,1
-0.7588,1.7867,7.1975,1
-0.2675,0.8176,4.0839,1
-0.6847,0.4818,1.2729,1
-2.0841,1.1382,6.7732,1
1.1327,-0.7929,3.0095,1
-0.0272,-0.0085,2.8691,1
-1.1914,0.5617,6.5471,1
-1.0544,0.2358,2.137,1
-2.121,0.3608,7.9602,1
0.2035,0.3685,5.1545,1
-0.6063,-0.67,8.1842,1
0.0107,-1.4947,2.2464,0
0.0699,0.2111,2.4484,1
-1.9233,0.3029,0.7283,0
-1.2109,0.7218,1.9444,1
-0.3862,-1.1022,2.4398,0
-0.0587,-0.0876,7.5096,1
0.0596,-0.471,4.2515,1
1.1305,2.2496,5.1796,1
0.7197,0.235,8.4834,1
-1.7312,0.4858,6.6758,1
1.3415,-0.1022,9.5004,1
1.069,-0.8684,7.1927,1
-1.8835,-0.0566,5.4787,1
1.3177,-0.9931,4.7467,1
-0.0435,0.7524,6.3766,1
0.1204,-1.2078,6.2675,1
-0.0618,0.3968,2.8573,1
-0.1194,0.8696,5.4015,1
0.468,0.5541,6.9395,1
-0.0985,-0.3508,4.076,1
-0.9999,-0.2743,2.0683,0
-1.9016,1.0432,5.8408,1
-0.6617,-1.857,7.6559,1
-0.0795,0.0743,3.5176,1
0.0428,-1.9593,9.5343,1
-1.449,0.8082,5.4613,1
-0.5625,-0.4265,2.1942,1
-0.2233,0.0952,3.3613,1
-0.4384,-0.9187,1.6504,0
-0.5116,0.1063,6.2226,1
0.9866,0.1688,5.6439,1
1.414,0.2431,1.357,1
-0.312,0.0766,3.791,1
0.2123,0.864,7.6123,1
-1.211,1.1498,8.3192,1
-0.0059,0.4134,0.1938,1
-4.1793,-1.0568,3.4996,0
-1.0235,-1.4114,6.5175,1
0.065,-2.4437,1.9936,0
0.5703,0.0734,1.2622,1
-0.6245,-1.127,2.1796,0
-0.5328,-1.6213,1.6779,0
-1.2973,-1.0359,1.1453,0
1.0909,-2.345,1.081,0
0.8535,0.1389,6.7735,1
0.9707,-0.2612,7.1501,1
1.3604,0.7039,6.2724,1
1.3799,1.028,8.5029,1
-0.4102,-0.2997,9.8384,1
0.1881,-0.9042,4.2838,1
-0.816,0.8628,3.4123,1
1.0886,-1.5068,1.0554,1
1.378,-0.3465,8.2871,1
-0.2834,-1.0311,7.338,1
0.7749,-0.1708,8.082,1
-1.1166,-0.2731,4.3557,1
-0.094,-0.785,8.5171,1
0.2068,-0.3722,8.8163,1
0.0431,1.1172,6.1033,1
-0.1749,0.1663,8.5095,1
0.2868,0.6282,7.9783,1
-1.1078,1.7374,7.0118,1
-0.0235,0.1409,9.4806,1
1.3704,0.8176,4.8858,1
0.0785,-1.5297,6.459,1
-1.7717,0.1023,0.9305,0
0.2724,1.5099,3.0621,1
-0.9869,-0.5552,5.3092,1
-1.4773,0.7469,3.3079,1
-0.2321,-0.7603,2.514,1
0.475,0.4497,1.1955,1
-1.652,-0.3787,1.8515,0
0.2412,1.1251,7.2459,1
1.2064,-0.1786,2.83,1
0.5302,0.3879,2.2748,1
0.0724,0.1525,5.3414,1
-0.4117,2.6744,5.5336,1
-0.1686,-0.4915,8.6846,1
-2.0271,0.1163,5.7406,1
-1.0578,0.2059,1.8436,1
2.2567,0.7549,4.7773,1
0.443,-0.9098,0.7408,0
-0.2281,-0.2412,1.492,1
-0.7856,-0.3274,9.9392,1
1.2509,1.1519,6.0632,1
0.1811,-0.6919,5.2257,1
-1.0295,0.3308,8.6017,1
0.852,-0.0534,6.2103,1
-1.2673,-1.0435,9.4759,1
0.1805,0.6644,6.6043,1
0.3407,0.5155,0.7506,1
1.0942,0.0184,5.9381,1
-0.186,0.7014,7.0696,1
-0.3203,-1.0525,6.8738,1
1.5635,-0.8101,6.2506,1
-1.2335,-1.976,4.2514,0
-1.3881,-0.3991,9.0841,1
0.1783,-0.3412,1.6592,1
-0.5888,1.5549,5.6921,1
-0.1238,0.5003,6.8868,1
-0.7427,-2.273,5.0047,0
-0.4092,0.016,0.3986,0
-0.8029,0.3654,2.5037,1
2.147,1.3878,8.3596,1
-2.1853,-1.1169,9.9957,1
-0.3718,-0.6999,0.4023,0
0.0444,-1.1268,6.5151,1
0.5469,-0.3185,5.8533,1
-0.7705,-0.8716,0.9124,0
-0.5199,0.7352,6.7013,1
0.5604,-0.6974,6.9367,1
-0.5732,2.3408,8.1357,1
-1.0474,-0.341,3.1452,1
-1.1776,2.3746,4.0418,1
-2.965,-0.2727,6.5766,1
-0.9959,-0.2731,1.8758,0
-1.0857,1.283,6.2541,1
0.0423,-0.6734,5.4922,1
0.9648,-0.4713,6.9825,1
1.9442,1.8588,6.0887,1
0.0395,0.5859,5.5084,1
-0.4187,-0.1426,9.9226,1
0.9502,-0.5787,1.1747,1
0.5797,-1.0216,7.166,1
-0.798,-0.0445,8.3472,1
0.7417,-0.0925,5.5127,1
-1.6804,1.5083,5.0824,1
1.4504,-1.3736,2.7625,1
0.2575,-1.0029,9.3425,1
-1.8514,-0.0901,2.8284,0
-0.3994,1.2684,9.989,1
-0.566,0.0369,5.3858,1
-0.713,1.0474,5.4343,1
-0.8468,0.244,1.8865,1
-0.4219,-1.2322,2.3356,0
0.0477,-0.2949,7.4471,1
-0.5071,-1.7548,3.8608,0
-0.957,-1.5881,9.8082,1
-0.2746,0.0081,5.0229,1
-1.7034,-1.0837,8.7419,1
-1.1369,0.4476,4.5693,1
-0.177,-1.0119,6.5478,1
0.6366,0.9287,9.692,1
-0.8114,1.3044,6.4984,1
1.1672,-1.5695,8.5934,1
-0.6362,0.5973,7.1872,1
0.1198,-2.0256,0.359,0
1.2839,0.5886,9.2093,1
1.6572,-0.0268,4.3397,1
1.1548,0.8218,8.7258,1
-1.4436,0.5333,9.0342,1
1.7095,0.5082,2.9337,1
-0.3962,0.397,5.3117,1
-1.6235,-0.7138,1.6998,0
1.7792,0.9632,6.1971,1
0.1272,2.2054,1.4312,1
-0.7428,0.185,2.5533,1
1.804,0.1066,9.0121,1
-0.2576,-0.5268,4.4173,1
-0.752,1.0981,6.3894,1
-0.6745,0.3474,8.453,1
0.3092,0.9358,4.8321,1
0.1046,1.2984,5.7481,1
